year	plot_num	date_collected	species	sex 	weight	note
2014	1	1/9/2014	DM	M	40	
2014	1	1/9/2014	DM	F	36	
2014	1	3/13/2014	DM	F	51	
2014	1	3/13/2014	DM	F	44	
2014	1	3/13/2014	DS	F	146	
2014	2	1/8/2014	NA	null	null	
2014	2	1/8/2014	DM	M	44	
2014	2	1/8/2014	PF	F	7	
2014	2	1/8/2014	DM	M	45	
2014	2	1/8/2014	OT	null	null	
2014	2	1/8/2014	DS	M	157	bad_calibration
2014	2	1/8/2014	OX	null	null	
2014	2	2/18/2014	NA	M	218	bad_calibration
2014	2	2/18/2014	PF	F	7	
2014	2	2/18/2014	DM	M	52	
2014	3	3/11/2014	PF	M	8	
2014	3	4/8/2014	NA	F	null	
2014	3	5/6/2014	null	null	null	
2014	3	5/18/2014	NA	F	182	
2014	3	6/9/2014	OT	F	29	
2014	3	7/8/2014	NA	F	115	
2014	3	7/8/2014	NA	M	190	
1978	4	1/8/1978	DM	F	37	
1978	4	1/8/1978	DM	M	null	
1978	4	1/8/1978	DM	F	48	
1978	4	1/8/1978	DO	M	52	
1978	4	1/8/1978	OL	M	35	
2013	2	7/16/2013	DM	F	null	
2013	7	7/16/2013	DM	M	33	
2013	3	7/16/2013	DM	M	null	
2013	1	7/16/2013	DM	M	null	
2013	3	7/16/2013	DM	M	40	
2013	7	7/16/2013	DM	M	48	
2013	4	7/16/2013	DM	F	29	
2013	6	7/16/2013	DM	F	37	
2013	8	8/19/2013	DO	F	52	
2013	3	10/17/2013	DO	F	33	
2013	3	10/17/2013	DO	F	50	
2013	9	12/10/2013	DO	F	40	
2013	1	12/10/2013	DO	M	45	
2013	8	12/11/2013	DO	F	41	
2013	9	11/12/2013	DS	F	117	
2013	11	11/12/2013	DS	F	126	
2013	17	11/12/2013	DS	M	132	bad_calibration
2013	14	11/12/2013	DS	F	113	bad_calibration
2013	11	11/12/2013	DS	F	122	
2013	4	11/12/2013	DS	F	107	
2013	4	11/12/2013	DS	F	115	
